test;length;memo_time;bottom_up_time
0;100;0.021;0.036
0;200;0.061;0.093
0;300;0.193;0.2
0;400;0.141;0.207
0;500;0.18;0.319
0;600;0.217;0.453
0;700;0.379;0.661
0;800;0.3;0.809
0;900;0.58;1.042
0;1000;0.398;1.3
0;1100;0.709;1.536
0;1200;0.455;2.546
0;1300;0.751;2.392
0;1400;0.537;2.474
0;1500;0.823;3.446
0;1600;1.048;3.699
0;1700;1.202;3.681
0;1800;0.699;4.058
0;1900;0.74;4.642
0;2000;1.029;5.078
1;100;0.022;0.033
1;200;0.083;0.082
1;300;0.102;0.123
1;400;0.248;0.336
1;500;0.181;0.33
1;600;0.239;0.46
1;700;0.26;0.624
1;800;0.3;0.816
1;900;0.387;1.033
1;1000;0.47;1.274
1;1100;0.463;1.543
1;1200;0.468;2.121
1;1300;1.066;2.191
1;1400;0.964;2.595
1;1500;0.759;3.155
1;1600;1.098;3.319
1;1700;1.215;3.881
1;1800;1.164;4.08
1;1900;0.73;4.555
1;2000;1.261;5.238
2;100;0.032;0.018
2;200;0.062;0.054
2;300;0.102;0.119
2;400;0.143;0.209
2;500;0.33;0.579
2;600;0.221;0.468
2;700;0.403;0.873
2;800;0.302;0.831
2;900;0.342;1.522
2;1000;0.385;1.281
2;1100;0.427;1.647
2;1200;0.768;1.885
2;1300;0.519;2.186
2;1400;0.694;2.867
2;1500;0.968;2.86
2;1600;1.117;3.823
2;1700;1.115;4.17
2;1800;1.11;4.099
2;1900;1.175;4.924
2;2000;0.782;5.742
3;100;0.022;0.014
3;200;0.061;0.063
3;300;0.102;0.118
3;400;0.142;0.324
3;500;0.183;0.321
3;600;0.22;0.469
3;700;0.261;0.633
3;800;0.3;0.899
3;900;0.343;1.619
3;1000;0.673;1.281
3;1100;0.42;1.94
3;1200;0.737;1.834
3;1300;0.518;2.237
3;1400;0.536;2.479
3;1500;0.574;2.847
3;1600;0.654;3.376
3;1700;0.658;4.422
3;1800;0.73;4.315
3;1900;0.75;4.586
3;2000;0.789;5.197
4;100;0.022;0.014
4;200;0.062;0.054
4;300;0.101;0.209
4;400;0.144;0.208
4;500;0.183;0.323
4;600;0.221;0.469
4;700;0.269;0.632
4;800;0.409;1.182
4;900;0.601;1.029
4;1000;0.389;1.287
4;1100;0.417;1.568
4;1200;0.825;2.068
4;1300;0.506;2.165
4;1400;0.894;2.473
4;1500;0.911;3.645
4;1600;0.93;3.256
4;1700;0.661;3.66
4;1800;1.229;4.181
4;1900;1.371;4.577
4;2000;0.791;5.26
