test;length;naive_time
0;1;0
0;2;0
0;3;0
0;4;0
0;5;0
0;6;0
0;7;0.001
0;8;0.001
0;9;0.002
0;10;0.004
0;11;0.008
0;12;0.016
0;13;0.04
0;14;0.064
0;15;0.164
0;16;0.386
0;17;0.536
0;18;1.024
0;19;2.043
0;20;4.674
1;1;0
1;2;0
1;3;0
1;4;0
1;5;0
1;6;0
1;7;0.001
1;8;0.001
1;9;0.002
1;10;0.004
1;11;0.009
1;12;0.029
1;13;0.047
1;14;0.064
1;15;0.128
1;16;0.256
1;17;0.518
1;18;1.03
1;19;2.116
1;20;4.142
2;1;0
2;2;0
2;3;0
2;4;0
2;5;0
2;6;0
2;7;0
2;8;0.001
2;9;0.002
2;10;0.004
2;11;0.008
2;12;0.016
2;13;0.038
2;14;0.064
2;15;0.128
2;16;0.255
2;17;0.518
2;18;1.03
2;19;2.143
2;20;6.579
3;1;0
3;2;0
3;3;0
3;4;0
3;5;0
3;6;0.001
3;7;0
3;8;0.001
3;9;0.002
3;10;0.005
3;11;0.012
3;12;0.016
3;13;0.033
3;14;0.064
3;15;0.135
3;16;0.257
3;17;0.52
3;18;1.036
3;19;2.076
3;20;4.83
4;1;0
4;2;0
4;3;0
4;4;0
4;5;0
4;6;0
4;7;0
4;8;0.001
4;9;0.002
4;10;0.004
4;11;0.008
4;12;0.016
4;13;0.032
4;14;0.064
4;15;0.129
4;16;0.256
4;17;0.52
4;18;1.76
4;19;2.064
4;20;4.138
