test;length;iterative_time;recursive_time
0;500;62.678;50.626
0;1000;256.107;104.333
0;1500;423.408;230.96
0;2000;523.955;302.266
0;2500;607.94;388.398
0;3000;839.941;555.439
0;3500;1009.04;728.405
0;4000;1210.84;906.35
0;4500;1410.16;1153.84
0;5000;1670.15;1363.25
0;5500;1869.23;1585.21
0;6000;2147.26;1756.12
0;6500;2378.1;2059.6
0;7000;2648.14;2300.22
0;7500;2939.45;2600.59
0;8000;3254.4;2875.82
0;8500;3568.62;3247.51
0;9000;3894.48;3603.51
0;9500;4356.04;3881.61
0;10000;4608.44;4277.97
1;500;9.293;973.259
1;1000;137.749;33.949
1;1500;343.092;101.381
1;2000;624.385;172.402
1;2500;896.64;265.63
1;3000;1239.29;342.923
1;3500;1253.41;453.366
1;4000;1321.5;610.377
1;4500;1487.78;766.03
1;5000;1665.48;948.424
1;5500;1894.23;1107.1
1;6000;2132.31;1312.09
1;6500;2380.6;1530.14
1;7000;2684.06;1771.65
1;7500;2979.19;2025.63
1;8000;3250.14;2214.55
1;8500;3544.83;2556.25
1;9000;3939.51;2829.79
1;9500;4246.63;3151.91
1;10000;4700.12;3529.99
2;500;8.158;918.095
2;1000;96.646;32.933
2;1500;253.48;84.289
2;2000;490.792;163.994
2;2500;806.323;245.876
2;3000;1130.82;345.04
2;3500;1479.45;463.461
2;4000;1625.65;609.298
2;4500;1508.58;767.964
2;5000;1718.48;891.523
2;5500;1894.18;1106.33
2;6000;2151.41;1320.67
2;6500;2386.15;1500.84
2;7000;2697.33;1791.26
2;7500;2961.69;1991.15
2;8000;3245.43;2241.51
2;8500;3573.49;2532.1
2;9000;3919.69;2799.27
2;9500;4374.39;3198.97
2;10000;4679.45;3483.51
3;500;10.973;921.552
3;1000;69.396;32.011
3;1500;231.612;128.367
3;2000;461.392;147.52
3;2500;810.098;253.01
3;3000;1346.47;512.727
3;3500;2606.46;955.889
3;4000;3145.59;995.227
3;4500;2864.5;1334.64
3;5000;2760.46;1398.14
3;5500;3051.96;1737.47
3;6000;3274.66;1950.99
3;6500;3676.42;2649.05
3;7000;4037.34;2924.65
3;7500;4395.96;3124.6
3;8000;4845.81;3469.93
3;8500;5170.24;3723.88
3;9000;5866.81;4289.25
3;9500;6485.76;4872.21
3;10000;7560.05;5338.8
4;500;13.559;1216.42
4;1000;99.072;63.901
4;1500;307.859;111.307
4;2000;670.051;228.017
4;2500;1104.45;342.715
4;3000;1576.56;524.669
4;3500;1987.56;640.05
4;4000;2430.94;858.802
4;4500;2650.64;1098.75
4;5000;2515.66;1391.94
4;5500;2818.49;1711.23
4;6000;3259.6;1943.32
4;6500;3668.51;2223.94
4;7000;3915.62;2580.48
4;7500;4023.74;2824.32
4;8000;4963.2;3391.78
4;8500;5340.06;3962
4;9000;5700.51;4153.06
4;9500;6333.55;4936.37
4;10000;6981.84;5419.54
