test;length;naive_time
0;10;0.006
0;11;0.013
0;12;0.024
0;13;0.087
0;14;0.154
0;15;0.292
0;16;0.632
0;17;1.327
0;18;2.466
0;19;4.814
0;20;6.698
0;21;16.426
0;22;26.122
0;23;49.767
0;24;107.066
0;25;235.856
0;26;401.003
0;27;808.785
0;28;1486.17
0;29;2937.16
1;10;0.005
1;11;0.017
1;12;0.021
1;13;0.042
1;14;0.091
1;15;0.168
1;16;0.336
1;17;0.97
1;18;1.364
1;19;3.335
1;20;6.762
1;21;12.421
1;22;25.833
1;23;48.077
1;24;100.899
1;25;205.262
1;26;392.23
1;27;812.034
1;28;1495.59
1;29;2920.67
2;10;0.009
2;11;0.017
2;12;0.022
2;13;0.068
2;14;0.133
2;15;0.227
2;16;0.399
2;17;1.01
2;18;2.054
2;19;3.975
2;20;6.056
2;21;12.008
2;22;22.952
2;23;45.505
2;24;90.547
2;25;190.733
2;26;392.107
2;27;727.774
2;28;1451.25
2;29;2898.44
3;10;0.008
3;11;0.017
3;12;0.034
3;13;0.045
3;14;0.129
3;15;0.226
3;16;0.392
3;17;1.133
3;18;1.406
3;19;3.003
3;20;9.388
3;21;16.281
3;22;32.884
3;23;50.66
3;24;90.696
3;25;183.292
3;26;361.096
3;27;733.367
3;28;1462.42
3;29;2900.98
4;10;0.02
4;11;0.017
4;12;0.021
4;13;0.068
4;14;0.132
4;15;0.231
4;16;0.52
4;17;1.071
4;18;2.159
4;19;3.58
4;20;7.561
4;21;16.657
4;22;27.767
4;23;50.981
4;24;93.91
4;25;185.631
4;26;375.472
4;27;725.304
4;28;1469.19
4;29;3916.54
